OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID
23,02/02,28 Long Lane,Broughty Ferry,Dundee,6cb4926b-f53b-4917-adf8-ccce1bd5558f
24,02/09,Ardroy,53 Camphill Road,Broughty Ferry,eb0facce-4faa-44b1-b9ee-211151b34fb2
25,04/13,Ross Gardens/Cromarty Drive,Dundee,Dundee,d7be4ef1-b38b-42b3-8bd0-d881393b7e50
26,02/84,95 Dundee Road,West Ferry,Dundee,c3c6c0e6-7a92-413e-8021-b412bae1506b
27,05/87,74 / 76 Camphill Road,Broughty Ferry,Dundee,fc404fb8-20af-4e9e-8b2b-954fb56ecdec
28,06/93,Harestane PLace/Pitempton Road,Dundee,Dundee,e73a061b-9805-4cf2-8354-2c4450482248
29,04/94,South of Richmond Terrace,Dundee,Dundee,4a4c03d1-624c-4874-bc57-f943d7f30d5a
30,01/95,Langlea Nursery,Langlea Place,Broughty Ferry,056de7d8-0b6e-4c42-b89d-e53bb23ce0ad
31,01/00,Redcroft,432 Blackness Road,Dundee,12194f77-34ea-4f28-93ad-7dd56544b888
32,01/94,Stirling House,Netherton Cottage,Craigiebarn Road,71f44a98-1b04-48b4-abaf-fd2ded30f919
33,01/02,7 Hill Road,Broughty Ferry,Dundee,43cf91ec-338a-4f4f-8319-19f136bf1030
34,01/03,Claverhouse,Dundee,Dundee,f6ff566c-6888-4db6-8740-db0fae963673
35,03/03,Claverhouse,Dundee,Dundee,5125c60c-92b8-41bb-962d-859c14d60ed3
36,05/03,Seabourne Gardens,Broughty Ferry,Dundee,a6946162-1d7c-4c94-b566-000c3b665b22
37,05/04,103 Strathern Road,Broughty Ferry,Dundee,4b068972-892d-40d1-91e7-e8cf0a72e5f5
38,05/83,Balgowan School,Strathmartine Road,Dundee,c4feaf07-a057-438b-a3b2-dc1d41c374dc
39,05/02,Kings Cross Hospital,Clepington Road,Dundee,72ec4fca-2ba0-430e-ab72-4d81cad8c7fd
40,01/05,Also Boundary for TPO No 04/05,King's Cross Road,Dundee,e72a7910-3569-4d6d-96b3-cc2b9899dbaa
41,08/05,Rockwell Solutions,Unit 1,Brunel Road,1ae156a6-7e81-4112-a4c0-d735fbd7eb66
42,04/10,35 Albert Road,Broughty Ferry,Dundee,62cf1a2c-d50d-44a5-819e-91fcfa6d1100
43,04/83,Annfield House,96 Fort Street,Broughty Ferry,c6a2ae2f-6272-4fec-b0dd-0185f9a06678
44,03/86,Tayfield Works,Seafield Road,Dundee,49d78b3b-e79c-42f2-97c6-eaccd48d3326
45,03/93,5-9 Fairfield Road,West Ferry,Dundee,651eae44-977d-41ce-a705-7ca0642e9e27
46,04/87,Panmure Terrace /,Abercromby Street,Broughty Ferry,969f732d-1a9e-4b95-a08f-c30f974d8b77
47,01/98,Vernonholme,Riverside Drive,Dundee,f4643d4c-9404-4d88-9a10-bd9f70c1ad51
48,03/02,47 Albert Road,Broughty Ferry,Dundee,5aaa5864-c85f-4294-8d5a-61c52564eaab
49,04/04,Abertay Gardens,Broughty Ferry,Dundee,cd5b4332-f9e1-4c6a-8bd0-9822782be87c
50,07/04,Reresmount Place,Land to West,Broughty Ferry,734c2431-ed5a-4f68-a33a-61f6e24d6185
51,10/04,9a Seabourne Gardens,Broughty Ferry,Dundee,a6c11243-d177-4c69-8249-a23b75113b07
52,05/05,North Grange Farm,Arbroath Road,Dundee,0e725fa3-d874-4501-8c3a-40860969f688
53,02/07,80 Forthill Road,Broughty Ferry,Dundee,5b38c6f3-aaf9-4dea-a06e-b348103b9596
54,04/06,Land West of MaCalpine Road,Dundee,Dundee,72f697a1-b197-4d6b-accf-3580c03fc67e
55,06/06,Harefield House,4 Clement Park Place,Dundee,3eb747cf-8699-432a-a9b9-155b23d93813
56,06/84,Baldragon Wood,Clatto,Dundee,43e51752-1f13-483a-bfab-6987d9ffb5b5
57,07/07,North Balmossie Street,Panmurefield 1,Dundee,9fd06048-4e34-4f7b-9177-d82db6a130df
58,08/07,12 Briarwood Terrace,Dundee,Dundee,66ba493e-7936-43b5-9999-f6ac6a9a458f
59,10/07,30c Albany Road,Broughty Ferry,Dundee,e0b8395f-ccab-44ec-8dcd-bb943b7a728a
60,10/08,1a Castleroy Road,Broughty Ferry,Dundee,31ee005e-19d6-4424-afd8-44481db9ba85
61,03/96,Rhoineach Mhor,588 Strathmartine Road,Dundee,e62ff10e-a702-4977-b05a-b6d452c5b917
62,03/83,"25, 27 Claypotts Road",By Claypotts Castle,Broughty Ferry,6496bd42-7888-4cc6-9c9b-7b555e2b8701
63,05/84,Hazel Avenue / Hazel Drive,Dundee,Dundee,637e75ba-a0b0-4e18-9fd3-b0d9f745c63f
64,07/84,21 Hill Street,Broughty Ferry,Dundee,1399e2e8-48d5-443d-bbee-eaa55f30c309
65,08/84,NCR,Camperdown,Kingsway West,5d2cfdcb-5139-4954-b57f-c891290c8e05
66,02/87,Woodlands Hotel,Panmure Terrace,Broughty Ferry,3ab98b86-5f85-4898-ab8d-e92a89fa5f7b
67,03/87,19 Cedar Road,Broughty Ferry,Dundee,2631e3e8-9860-4c08-bee8-25798721a5f4
68,07/87,Dundee Crematorium,Macalpine Road,Dundee,b834cb6e-4e75-4320-9225-7a3fc95c2202
69,01/88,Swallow Hotel,Kingsway West,Dundee,0cc66a38-e60d-48d9-85ae-39c32e9e376a
70,03/88,Anton House,Forthill Road / Cedar Grove,Broughty Ferry,389bebc0-5e42-4240-8f5e-295ee3b869fb
71,05/93,Myrekirk House,Myrekirk Road,Wester Gourdie Industrial Est.,cad4beb1-884f-452e-9a2a-e3d54df25c58
72,02/94,Longhaugh Hotel,Pitkerro Road,Dundee,7d58fcd8-46e2-4e45-b148-e38002ea292c
73,02/01,Blackness Nursery,Perth Road,Dundee,1c434e2a-78a9-460d-bec3-65f41ac2323b
74,02/98,45 Craigie Drive and,1 Primrose Bank,Dundee,daf99be9-c91a-41ec-b63c-3b3fdb6e74d0
75,04/03,Claverhouse,Dundee,Dundee,6d800d01-713d-4d4a-9341-d21078fa3a4b
76,11/04,63a Camphill Road,Broughty Ferry,Dundee,b05edb7d-b590-4d10-93e4-aa48308d70ca
77,02/06,Tower Court,Ralston Road,West Ferry,209ff61d-7cfc-46f5-9002-bd4ef228a14a
78,04/07,Plot 1,Reres Gardens,Broughty Ferry,f2236689-7ef8-459c-8045-1a62a49ee808
79,05/07,Land South of,Lawers Drive,Panmurefield,338e97b5-e615-477e-9c9f-73fb5c50db36
80,13/07,91 Dundee Road,Broughty Ferry,Dundee,1e535917-dcb8-4e2c-874d-d61f20bc1a69
81,01,Gray House,By Invergowrie,Dundee,f820d1f8-2387-4bea-b561-33291a504828
82,06/13,Linlathen,Dundee,,3ed83134-a97c-445e-9d26-179587fec449
83,08/13,Fernbrae Hospital,329 Perth Road,Dundee,fe0a93f3-ecdf-42b1-aefe-209cac8f132e
84,01/14,St Lukes Church & Hall,Baldovan Road,Dundee,ae6e8b7d-4c04-4933-89b2-1cf09f1c2a74
85,06/83,Ballinard Hotel,Claypotts Road,Broughty Ferry,c9fb3dcd-b10e-47ff-a9d7-894391f10889
86,01/96,Mayfield,Arbroath Road,Dundee,30e9dbd1-4bd9-4946-99b7-df2cbf44f703
87,01/99,Former Dundee Royal Infirmary,Barrack Road,Dundee,aa7732b0-3299-4a7d-bad0-81edcc75bea2
88,07/84,West Pitkerro,Dundee,Dundee,4f03af5e-060a-48b0-a9da-49c449fd2a8d
89,01/01,NCR,Wester Gourdie Industrial Est,Kingsway West,b7d998b5-6b90-45f7-bc86-1179c9798ac0
90,06/01,Thomas Wise Place,Ninewells,Dundee,9ad98fa9-4338-4762-9b78-27dcce8cd33f
91,01/82,Fairmuir Parish Church,Clepington Road,Dundee,536d0278-195e-4b35-943d-6a4cef482f5e
92,07/03,2 Mansion Drive,Dundee,DD4 9DD,410a4c63-b81c-47f0-81ee-497cb56ccd95
93,08/03,Lethnot Gardens,Barnhill,Dundee,de356d45-13c0-4e7e-9520-7e13aaf6ff6f
94,09/04,5 Lethnot Gardens,Barnhill,Dundee,2d2d712f-1477-49da-9c80-95a5e3bef36e
95,02/05,26 Cedar Road,Broughty Ferry,Dundee,48d17112-1cbd-4148-a83f-9110fad9bc5c
96,09/05,Ground to West,Millers Wynd,Dundee,266b5713-3d1c-41ee-924c-2e56a88c0170
97,05/06,Land to West,Dykes of Gray Road,Dundee,b3024d2d-197c-4476-acb9-b2f7cf4591a4
98,04/02,The Arboetum,Tom McDonald Avenue,Dundee,f6a03852-c66a-4512-a4c2-ef0ea4fe038a
99,03/07,Lodges,Hill Street,Broughty Ferry,a885bf3d-7d07-4c07-958d-06dbb9cdaaab
100,09/07,22 Foggylea Gardens,Dundee,DD2 3LF,d5fe7684-2929-46d7-a5ce-a50a62c7adc7
101,14/07,Tayside Primary Care NHS Trust,Dudhope House,15 & 19 Dudhope Terrace,18a38d9d-5176-4dec-b5ab-25f30053ec28
102,16/08,Darkfalls,1a Castleroy Road,Broughty Ferry,96354f4c-0aa7-4ac2-9942-8b08c5dbd3a7
103,08/08,Land to West of Shepherds Loan,and South of Perth Road,Dundee,cc2c17e4-66aa-409a-9f75-700cd6627a5f
104,04/09,Suilven,7 Castleroy Road,Broughty Ferry,2080a3c6-cc95-426c-b843-ec2422a55bc8
105,01/10,Rowanbank,Drumgeith Road,Dundee,aa3e9783-22a5-4e75-b3d2-6a76421b56d8
106,06/10,Forebank House,2 Eadies Road,Dundee,c9908245-8edf-4fea-9d85-22f4a6b4cf46
107,01/09,Tree Tops,5 Castleroy Road,Broughty Ferry,2087c586-7599-49a5-9813-1477e4ca0ffe
108,11/08,89 Dundee Road,Broughty Ferry,Dundee,135b38cd-bbba-4b42-bc91-e427ca73317d
109,06/08,Land East Of Foggyley Gardens,Foggyley Gardens,Dundee,606f4288-50ab-49a5-85e9-5a7b8db1e30c
110,05/10,45 Seafield Road,Broughty Ferry,Dundee,5b1ccede-7a53-4df2-b4b1-420d766c28fa
111,06/03,Liff Hospital Grounds,Liff,Dundee,c5fe0adb-de58-4dc6-99ab-65995e4cda9a
112,01/04,Shiell Street 2,Broughty Ferry,Dundee,1bc6e134-4101-4fc7-80d5-5264c4453470
113,06/04,Montpelier Gardens,Dundee,Dundee,3af17198-69cf-40b3-81f1-d806edabfdaa
114,03/05,Armistead House,94 Monifieth Road,Dundee,19664578-ed9c-40d1-a52b-13b62af1204b
115,11/05,Clement Park Nursing Home,Clement Park Place,Dundee,c59a2d58-b286-48ea-8a29-dbce90bee9a9
116,12/05,Druburgh Gardens,Lochee,Dundee,a93eb3ac-07da-4322-96c1-3cdbe27b4e6f
117,03/06,10 West Grove Avenue,Dundee,Dundee,9f8977c0-3d91-405b-9a76-42649494ffff
118,07/06,North Lodge,4 Grosvenor Road,Dundee,beddbd45-16bf-49ef-833d-39b74fec09e2
119,06/07,Land at,Panmurerfield Den,Panmurefield,c14bc77c-30fa-486c-804f-0c7a04c7f5d6
120,12/07,Land at Riverside Avenue,Dundee,Dundee,05ec9145-1c1c-4e84-94ff-226ace3b4baa
121,05/08,Dudhope Gardens,Dundee,Dundee,24479061-0e4f-48e2-a837-e922bd818b8f
122,14/08,Ravenscraig Gardens,Broughty Ferry,Dundee,3ffccd6d-858b-4702-ab4d-ce703f49de7e
123,15/08,Flemmings Gymnasium,61 Smalls Wynd,University of Dundee,0824693c-d6f6-4fd9-9c11-26b601126f3a
124,07/09,Redholme,Gardyne Road,Dundee,44756c4a-8831-4742-ab88-ba6809514b06
125,02/10,Fintry Nursery School,Fintry Road,Dundee,cf4c7d55-e61e-46ca-9487-d9c8e8c6083d
126,07/10,Avrom House,23 Seafield Road,Broughty Ferry,ae02b164-99de-43cc-95d0-0dc9e5c31954
127,08/10,Holly Road,Broughty Ferry,Dundee,fb2c0517-d726-4fe4-aa92-86d21021eeb9
128,09/10,Invermark Terrace,Barnhill,Dundee,f70644c9-2261-4741-8aed-1c59141d9a0d
129,10/10,Bonspiel Gardens,Broughty Ferry,DD5 2LH,470e7345-876e-4bd8-9490-c30b58827a68
130,01/11,114 Camphill Road,Broughty Ferry,Dundee,237c52ae-dd28-467d-a55a-913ba0b3543b
131,01/12,Braeknowe,430 Blackness Road,Dundee,6082a4e8-1ef2-4cd7-af7a-92f9a6097c4d
132,03/11,73 Camphill Road,Broughty Ferry,Dundee,84a387ca-8867-460b-a86f-d4f5a82312f2
133,11/10,Land at 63 Reres Gardens,Broughty Ferry,Dundee,05ce246d-8ada-4761-acfd-7a612cead5d2
134,02/11,37A Mains Loan,Dundee,,5a587c4c-6904-4897-81dd-c9395fa6dc8a
135,05/12,Brackenbrae,Albert Road,Dundee,29ed665e-057c-41eb-add4-a0b65e847a37
136,06/12,Elmgrove House,315 South Road,Dundee,f17d960d-f838-47a9-b869-6ba3a483cbe1
137,08/12,Dundee College,Gardyne Road,Dundee,6b2d1d1c-6719-4c4b-a610-3a8f730d830b
138,09/12,Land to Southwest,Gemini Crescent,Dundee,9955dffe-d174-4ef7-b2af-5f27fcab5985
139,10/12,The Glens,Dundee,,64f7c7d5-753e-4226-881b-763b16d44163
140,11/12,10 Forthill Road,Broughty Ferry,Dundee,93d5bcb1-4678-47be-bfdc-b136e236e35a
141,01/13,Byron Crescent,Dundee,,0977ec95-8396-43c5-b0c3-df5123b032f8
142,02/13,Parkview School,309 Blackness Road,Dundee,8dc61595-1bf3-48a7-85fa-769f165d3adf
143,03/13,N Of Scotland Water Authority,Stobsmuir Road,Dundee,c729af95-ae9f-4884-9d87-4af3ffc4398a
144,07/12,43 Albany Road,Broughty Ferry,Dundee,ba391062-dc43-468d-bb46-509d61fbb198
145,05/13,Windsor Court,Broughty Ferry,Dundee,2dc4e73b-0076-43e0-afee-cd1dbc0130a7
146,03/14,1 Norrie Street,Broughty Ferry,Dundee,4ca776b5-3136-4a1e-8139-dc579dfbb8e1
147,04/14,Seymour Lodge,259 Perth Road,Dundee,0409ad09-0226-4866-ab4a-3d41bc927471
148,02/16,48 Adelaide Place,Dundee,,3c81f456-5c27-4f9f-8727-757bc265d660
149,01/17,Invercarse Hotel,371 Perth Road,Dundee,3dab18ef-cfa6-46be-9aca-cee129b186d9
150,01/16,33 Reres Road,Broughty Ferry,Dundee,d3d7e5ba-fac3-4fef-99fa-86292f41e3b4
151,01/19,158 Nethergate,Dundee,Dundee,d52bb616-13eb-4d28-b31d-5725cd35e12f
152,02/19,,3 Farington Gardens,Dundee,75e8af89-846d-4651-92f8-291c5f09987a
153,01/94,Stirling House,Netherton Cottage,Craigiebarn Road,e71ba6d5-0558-4faa-a628-896403a4e4d9
154,01/23,13B Richmond Terrace,Garden Ground to West,Dundee,8d95f095-0560-4fce-84a2-ba7471280a43
155,01/25,,,,298beaaf-e3a0-424c-8dfd-c0bbc8832db7
