OBJECTID,Site reference,LDP2 reference,Year site added,Site area (ha),Site address,Easting,Northing,Site type,Site status,Owner/Developer,Tenure type,Planning application reference,Last planning approval date,Building warrant reference,Date completed/expired,Greenfield/Brownfield,Self build,Windfall site,Site capacity,BW plots written off,No of houses,No of flats,Plots completed in survey year,Total completions,Units to build,Year 24/25,Year 25/26,Year 26/27,Year 27/28,Year 28/29,Year 29/30,Year 30/31,Year 31/32,Year 32/33,Year 33/34,Later Years,Total Programmed,Shape__Area,Shape__Length
148,201913,,6/21/2018 12:00:00 AM,0.188259324,"CANDLE LANE, 9-11 ",340603,730390,Effective,Under Construction,HILLCREST HA,RSL,18/00016/FULL,6/21/2018 12:00:00 AM,19/00288/DOM1,,Brownfield,No,Yes,24,0,0,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,24,1882.593246,477.7461616
149,202310,,02/10/2023 00:00,0.04536329,"CANDLE LANE, 3-7",340567,730409,Effective,Planning Consent,MURRAYFIELD PROPERTIES LTD,Private,20/00739/FULL,02/10/2023 00:00,,,Brownfield,No,Yes,8,0,0,8,0,0,8,0,0,8,0,0,0,0,0,0,0,0,8,453.6328735,87.19797234
150,202311,,03/08/2023 00:00,0.02002493,"LOCHEE ROAD, 142A",338908,730689,Small Site,Under Construction,PRIVATE,Private,22/00485/FULL,03/08/2023 00:00,23/00067/DOM2,,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,200.2493286,68.00591846
151,202313,,3/31/2023 12:00:00 AM,0.284476229,"DYKES OF GRAY ROAD, SOUTH OF MAINS OF GRAY FARM",333577,732048,Small Site,Planning Consent,PRIVATE,Private,22/00818/FULL,3/31/2023 12:00:00 AM,,,Greenfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,2844.762299,238.3474724
152,201109A,H17,6/23/2017 12:00:00 AM,0.723100351,CENTRAL WATERFRONT - SITE 6 *,340454,729970,Effective,Under Construction,DUNDEE CITY COUNCIL,Private,"17/00113/FULM, 18/00400/FULL",8/17/2018 12:00:00 AM,"18/00718/DOM1, 18/00719/DOM1",,Brownfield,No,Yes,99,0,0,99,0,0,99,0,0,0,50,49,0,0,0,0,0,0,99,7231.003525,358.9955084
153,201826C,H29,6/13/2022 12:00:00 AM,1.942223668,"SUMMERFIELD AVENUE AT SUMMERFIELD GARDENS, LAND TO WEST",343614,733089,Effective,Under Construction,INVERTAY HOMES,Private,21/00736/FULL,6/13/2022 12:00:00 AM,22/00410/DOM1,,Brownfield,No,No,34,0,34,0,0,0,34,0,15,19,0,0,0,0,0,0,0,0,34,19422.23672,634.9092487
154,201826D,H29,3/30/2023 12:00:00 AM,0.360884214,"SUMMERFIELD AVENUE AT SUMMERFIELD GARDENS, LAND TO WEST",343680,733153,Effective,Under Construction,INVERTAY HOMES,Private,22/00148/FULL,3/30/2023 12:00:00 AM,22/00700/DOM1,,Brownfield,No,No,8,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,3608.842117,249.5783378
155,202319,,08/10/2023 00:00,0.212187901,"DONALDS LANE, SITE OF FORMER 6",336880,731887,Effective,Planning Consent,H & H PROPERTIES LTD,Private,22/00376/FULL,08/10/2023 00:00,0,,Brownfield,No,Yes,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,2121.878983,319.0384959
156,201510A,H06,1/27/2020 12:00:00 AM,0.143482051,"HIGH STREET, LOCHEE, SITE OF WEAVERS VILLAGE",337888,731469,Effective,Consent Expired,HILLCREST HA,RSL,19/00738/FULL,1/27/2020 12:00:00 AM,21/00029/DOM1,,Brownfield,No,No,14,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,,0,,1434.820511,164.5313872
157,202405,,2/29/2024 12:00:00 AM,0.012525694,"BELL STREET, 86, UNIT 1, INDIA BUILDINGS",340205,730599,Small Site,Planning Consent,PRIVATE,Private,23/00855/FULL,2/29/2024 12:00:00 AM,0,,Brownfield,No,Yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,125.2569427,46.60804165
158,202402,,01/12/2024 00:00,0.011603429,"BELL STREET, 46 & 50",340141,730567,Small Site,Planning Consent,PRIVATE,Private,23/00701/FULL,01/12/2024 00:00,0,,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,116.034317,44.98121664
159,202326,,12/21/2023 12:00:00 AM,0.017496595,"BELL STREET, 86, UNIT 2, INDIA BUILDINGS",340204,730611,Small Site,Planning Consent,PAVILLION PROPERTIES LTD,Private,23/00694/FULL,12/21/2023 12:00:00 AM,0,,Brownfield,No,Yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,174.9659576,65.90838566
160,202404,,02/05/2024 00:00,0.316816261,"PERTH ROAD, 381, GARDEN GROUND TO EAST",336752,730030,Small Site,Planning Consent,PRIVATE,Private,23/00668/FULL,02/05/2024 00:00,0,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,3168.162674,452.2808027
161,202323,,11/03/2023 00:00,0.012693414,"NETHERGATE, 32",340252,730132,Small Site,Planning Consent,PRIVATE,Private,23/00587/FULL,11/03/2023 00:00,24/00117/DOM4,,Brownfield,No,Yes,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,,126.9341278,45.76074752
162,202325,,11/23/2023 12:00:00 AM,0.014148116,"BELL STREET, 86, INDIA BUILDINGS, 2, UPPER GROUND FLOOR",340216,730603,Small Site,Planning Consent,PAVILLION PROPERTIES LTD,Private,23/00571/FULL,11/23/2023 12:00:00 AM,23/00543/DOM1,,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,141.4811401,52.16648504
163,202327,,12/21/2023 12:00:00 AM,0.014136677,"BELL STREET, 86, INDIA BUILDINGS, 2, LOWER GROUND FLOOR",340216,730603,Small Site,Planning Consent,PAVILLION PROPERTIES LTD,Private,23/00574/FULL,12/21/2023 12:00:00 AM,24/00030/DOM1,,Brownfield,No,Yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,141.3667908,52.16686035
164,202324,,11/07/2023 00:00,0.15233521,"DICKSON AVENUE, THE ROCK",336124,731003,Effective,Planning Consent,ROCK DEVELOPMENTS (SCOTLAND) LTD,Private,23/00510/FULL,11/07/2023 00:00,23/00008/DOM1,,Brownfield,No,Yes,16,0,0,16,0,0,16,0,8,8,0,0,0,0,0,0,0,0,16,1523.352127,176.329041
165,202401,,01/10/2024 00:00,0.239697948,"NETHERGATE, 172, CAIRD REST",339852,729813,Effective,Planning Consent,PRIVATE,Private,23/00451/FULL,01/10/2024 00:00,0,,Brownfield,No,Yes,5,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,2396.979492,203.6554984
166,202407,,3/20/2024 12:00:00 AM,0.133380249,"DUNDEE ROAD, 69, WOODCROFT",344360,731160,Small Site,Planning Consent,PRIVATE,Private,23/00404/FULL,3/20/2024 12:00:00 AM,0,,Greenfield,No,Yes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,1333.802521,149.9494125
167,202322,,10/12/2023 00:00,0.202699582,"KINGHORNE ROAD, 119A, THE HIGH KIRK",339491,731290,Effective,Planning Consent,DAVID GRAY  CONSTRUCTION LTD,Private,23/00389/FULL,10/12/2023 00:00,24/00145/DOM1 (pending),,Brownfield,No,Yes,8,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,2026.995712,206.1039547
169,202318,,7/31/2023 12:00:00 AM,0.007722659,"BELL STREET, 86, UG FLOOR, INDIA BUILDINGS",340211,730614,Small Site,Planning Consent,PAVILLION PROPERTIES LTD,Private,23/00345/FULL,7/31/2023 12:00:00 AM,0,,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,77.22660828,38.81372898
170,202317,,7/28/2023 12:00:00 AM,0.004055428,"CLEGHORN STREET, 25A ",338740,730664,Small Site,Planning Consent,PRIVATE,Private,23/00279/FULL,7/28/2023 12:00:00 AM,23/00422/DOM4,,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,40.55426025,27.97936472
171,202316,,7/21/2023 12:00:00 AM,0.085897914,"STRATHERN ROAD, 32, GARDEN GROUND",344271,731367,Small Site,Under Construction,PRIVATE,Private,23/00199/FULL,7/21/2023 12:00:00 AM,23/00589/DOM2,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,858.9791107,174.7074706
172,202403,,1/23/2024 12:00:00 AM,0.050141812,"SHEPHERDS LOAN, LAND SOUTH OF STEPHENS YARD",338788,729671,Small Site,Planning Consent,PRIVATE,Private,23/00170/FULL,1/23/2024 12:00:00 AM,0,,Brownfield,No,Yes,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,501.4180756,97.31440506
173,202315,,5/19/2023 12:00:00 AM,0.115542344,"BROUGHTY FERRY ROAD, 208",342298,731118,Small Site,Planning Consent,PRIVATE,Private,23/00128/FULL,5/19/2023 12:00:00 AM,0,,Brownfield,No,Yes,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,1155.423416,145.2752681
174,202314,,5/18/2023 12:00:00 AM,0.03373272,"DANIEL TERRACE, 2",339440,730204,Small Site,Planning Consent,PRIVATE,Private,23/00112/FULL,5/18/2023 12:00:00 AM,0,,Brownfield,No,Yes,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,337.327179,73.19780615
175,202321,,08/10/2023 00:00,0.031726486,"KINGSWAY, 74, GARDEN GROUND",340809,732504,Small Site,Planning Consent,PRIVATE,Private,23/00110/PPPL,08/10/2023 00:00,0,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,317.2648621,76.76421416
176,202406,,3/15/2024 12:00:00 AM,0.0355161,"GOTTERSTONE DRIVE, 61",344544,731906,Small Site,Planning Consent,PRIVATE,Private,23/00079/FULL,3/15/2024 12:00:00 AM,,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,355.1610565,74.50412918
177,201011A,H27,9/13/2023 12:00:00 AM,1.200707426,"Whitfield Drive, South, Site Of Whitfield Primary School",343204,733328,Effective,Planning Consent,ANGUS HA,Housing Association,19/00716/FULL,9/13/2023 12:00:00 AM,23/00047/DOM1,,Brownfield,No,,18,0,10,8,0,0,18,0,0,18,0,0,0,0,0,0,0,0,18,12007.07428,637.7979029
178,201011B,H27,9/13/2023 12:00:00 AM,1.154683868,"Whitfield Drive, North, Site Of Whitfield Primary School",343234,733380,Effective,Planning Consent,GEORGE MARTIN ,Private,19/00776/FULL,9/13/2023 12:00:00 AM,0,,Brownfield,No,No,30,0,30,0,0,0,30,0,0,0,15,15,0,0,0,0,0,0,30,11546.83875,533.4534069
179,201510B,H06,05/04/2023 00:00,0.041786795,"BURNSIDE STREET, 6-10, SITE OF",337951,731543,Small Site,Under Construction,PRIVATE,Private,22/00748/FULL,05/04/2023 00:00,23/00119/DOM1,,Brownfield,No,No,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,417.8679657,83.2231113
180,202115,,11/18/2021 12:00:00 AM,0.028412288,"WHITEHALL CRESCENT, 3",340357,730131,Effective,Planning Consent,JOUP PROPERTY LTD,Private,21/00636/FULL,11/18/2021 12:00:00 AM,22/00065/DOM1,,Brownfield,No,Yes,14,0,0,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,14,284.1228333,72.07123544
181,200719,,3/23/2007 12:00:00 AM,0.135575366,"ESPLANADE, FORMER JACQUES NIGHTCLUB",347257,730953,Effective,Site Complete,GL RESIDENTIAL,Private,11/00340/FULL,09/05/2011 00:00,12/00395/NBUILD,2/29/2024 12:00:00 AM,Brownfield,No,Yes,11,1,0,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1355.753693,166.5908036
182,201506,.,08/04/2017 00:00,0.124914263,"CLAVERHOUSE OLD ROAD, LAND TO EAST OF 1",340818,733650,Effective,Site Complete,RIVERVIEW CONSTRUCTION LTD,Private,16/00987/FULL,08/04/2017 00:00,18/00146/DOM1,5/23/2023 12:00:00 AM,Brownfield,No,Yes,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1249.142654,155.8978336
183,201812,.,12/20/2018 12:00:00 AM,0.101089846,"RAGLAN STREET, 5",341183,731151,Effective,Site Complete,JF KEGS,RSL,18/00984/FULL,12/20/2018 12:00:00 AM,22/00206/DOM1,12/04/2023 00:00,Brownfield,No,Yes,16,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.898392,136.0306842
184,202215,,8/29/2022 12:00:00 AM,0.132016198,"STRATHMARTINE ROAD, 347-349",338960,733333,Small Site,Site Complete,PRIVATE,Private,22/00444/FULL,8/29/2022 12:00:00 AM,22/00464/DOM1,3/15/2024 12:00:00 AM,Brownfield,No,Yes,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1320.161957,155.1631207
