OBJECTID,Site reference,LDP2 reference,Year site added,Site area (ha),Site address,Easting,Northing,Site type,Site status,Owner/Developer,Tenure type,Planning application reference,Last planning approval date,Building warrant reference,Date completed/expired,Greenfield/Brownfield,Self build,Windfall site,Site capacity,BW plots written off,No of houses,No of flats,Plots completed in survey year,Total completions,Units to build,Year 24/25,Year 25/26,Year 26/27,Year 27/28,Year 28/29,Year 29/30,Year 30/31,Year 31/32,Year 32/33,Year 33/34,Later Years,Total Programmed,Shape__Area,Shape__Length
27,201108,,04/01/2011 00:00,3.587017201,"DERBY STREET, FORMER MULTIS",339832,731556,Effective,Under Construction,DCC/HILLCREST,DCC/RSL,"16/00806/FULM, 17/00799/FULL",12/11/2017 00:00,17/00053/DOM1,,Brownfield,No,Yes,162,1,39,123,111,136,26,26,0,0,0,0,0,0,0,0,0,0,26,35870.17198,1179.6999
28,201805B,,05/12/2017 00:00,0.106746323,"MONIFIETH ROAD, 92A ",347338,731179,Small Site,Under Construction,PRIVATE,Private,16/00745/FULL,05/12/2017 00:00,20/00299/DOM1,,Brownfield,No,Yes,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1067.463211,147.6586545
29,201805C,,5/24/2017 12:00:00 AM,0.040015906,"GLAMIS ROAD, 28A ",336991,730301,Small Site,Planning Consent,PRIVATE,Private,"17/00266/FULL, 21/00451/FULL",8/19/2021 12:00:00 AM,0,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,400.1590271,87.66959269
30,201805D,,06/01/2017 00:00,0.152675014,"HAREFIELD ROAD, 16, LAND TO EAST OF ",338201,731821,Small Site,Planning Consent,PRIVATE,Private,"17/00247/FULL, 22/00010/FULL",03/10/2022 00:00,0,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1526.750122,174.7538552
31,201805G,,10/26/2017 12:00:00 AM,0.138441768,"GIBSON TERRACE, 3, LAND EAST OF",341179,731912,Small Site,Under Construction,PRIVATE,Private,"17/00594/FULL, 20/00295/FULL",8/28/2020 12:00:00 AM,20/00387/DOM2,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1384.417725,165.0028083
32,201805J,,11/15/2017 12:00:00 AM,0.038505837,"PRINCES STREET, 161",341072,730954,Small Site,Under Construction,PRIVATE,Private,17/00769/FULL,11/15/2017 12:00:00 AM,18/00020/DOM1,,Brownfield,No,Yes,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,385.0584106,104.3442094
33,202009,,9/18/2019 12:00:00 AM,0.918439817,"MORGAN STREET, TAYBANK WORKS PH 2",341351,731255,Effective,Planning Consent,CALEDONIA HA,RSL,"19/00227/FULL, 20/00039/FULL, 20/00306/FULL, 21/00326/FULL",11/19/2021 12:00:00 AM,20/00236/DOM1,,Brownfield,No,Yes,37,0,21,16,0,0,37,0,37,0,0,0,0,0,0,0,0,0,37,9184.398163,410.1142264
34,201805M,,3/26/2018 12:00:00 AM,0.186369855,"ARBROATH ROAD, NORTH GRANGE FARM",348337,733354,Small Site,Planning Consent,PRIVATE,Private,"18/00053/FULL, 21/00123/FULL",05/07/2021 00:00,0,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1863.698547,179.735873
35,201417,H05,04/01/2014 00:00,1.781801571,"SOUTH ROAD, FORMER LOCHEE PS",337330,731477,Effective,Planning Consent,H & H PROPERTIES LTD,Private,22/00402/FULL,11/01/2023 00:00,24/00157/DOM1 - pending,,Brownfield,No,No,39,0,39,0,0,0,39,0,30,9,0,0,0,0,0,0,0,0,39,17818.01578,642.18106
36,200913,H09,04/01/2009 00:00,4.024883485,"RANNOCH ROAD, FORMER LAWSIDE ACADEMY",338363,733094,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,Private,,,,,Brownfield,No,No,70,0,0,0,0,0,70,0,0,0,0,20,20,30,0,0,0,0,70,40248.83493,1092.614427
37,201825,H14,04/01/2018 00:00,2.176848346,"GREENMARKET, FORMER RAILYARDS *",339467,729510,Effective,Allocated in LDP,SCOTTISH ENTERPRISE,TBC,,,,,Brownfield,No,No,110,0,0,0,0,0,110,0,0,0,50,60,0,0,0,0,0,0,110,21768.4834,778.5420778
38,201813,H16,04/01/2018 00:00,0.61366991,"MAXWELLTOWN, FORMER MULTIS",340172,731036,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,TBC,,,,,Brownfield,No,No,30,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,30,6136.699097,346.225237
39,200728,H18,04/01/2007 00:00,0.259715388,PRINCES STREET,340941,730852,Constrained,Constrained,DUNDEE CITY COUNCIL,Private,PREAPP/001/2019,,,,Brownfield,No,No,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,0,2597.15387,243.999715
40,201214,H21,04/01/2012 00:00,0.4466989,"HEBRIDES DRIVE NORTH EAST, MOM-PHASE 4",341531,733473,Effective,Planning Consent,HOME SCOTLAND,RSL,"18/00974/FULL, 23/00059/FULL",01/09/2024 00:00,23/00034/DOM1,,Brownfield,No,No,17,0,7,10,0,0,17,0,17,0,0,0,0,0,0,0,0,0,17,4466.988968,301.2548646
41,201213,H22,04/01/2012 00:00,0.578881831,"HEBRIDES DRIVE SOUTH EAST, MOM-PHASE 4)",341518,733254,Effective,Planning Consent,HOME SCOTLAND,RSL,"18/00974/FULL, 23/00059/FULL",01/09/2024 00:00,23/00034/DOM1,,Brownfield,No,No,31,0,7,24,0,0,31,0,31,0,0,0,0,0,0,0,0,0,31,5788.818375,353.4160123
42,201110,H23,04/01/2011 00:00,1.457719905,"BALLOCHMYLE DRIVE, FORMER MOSSGIEL PSC PHASE 2",341769,732646,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,RSL,,,,,Brownfield,No,No,30,0,0,0,0,0,30,0,15,15,0,0,0,0,0,0,0,0,30,14577.19908,586.1201363
43,201012,H25,04/01/2010 00:00,1.827373366,"LOTHIAN CRESCENT, FORMER WHITFIELD SHOPPING CENTRE",343056,733375,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,Private/RSL,,,,,Brownfield,No,No,30,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,30,18273.73378,583.296097
44,200353,H26,04/01/2003 00:00,0.834529291,LOTHIAN CRESCENT,343118,733510,Constrained,Constrained,DUNDEE CITY COUNCIL,RSL,,,,,Brownfield,No,No,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,8345.292984,457.767044
45,201010,H28,04/01/2010 00:00,3.758759156,TRANENT GROVE,343320,733503,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,Private,22/00461/FULL,12/16/2022 12:00:00 AM,,,Brownfield,No,No,53,0,0,0,0,0,53,0,0,22,31,0,0,0,0,0,0,0,53,37587.59129,1337.589421
46,201220,H19,04/01/2012 00:00,0.411420458,"BARNS OF CLAVERHOUSE ROAD, MOM PHASE 4",340911,733631,Constrained,Planning Consent,DUNDEE CITY COUNCIL,Private,,,,,Brownfield,No,No,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,4114.204605,286.3017314
47,201008,H31,04/01/2010 00:00,1.336903371,"LOTHIAN CRESCENT, BOWLING GREEN EAST",343913,733373,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,Private,,,,,Brownfield,No,No,30,0,0,0,0,0,30,0,0,15,15,0,0,0,0,0,0,0,30,13369.0336,450.8269752
48,201827,H33,04/01/2018 00:00,8.4240753,"DRUMGEITH ROAD, KELLYFIELD",344237,733239,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,TBC,,,,,Brownfield,No,No,100,0,0,0,0,0,100,0,0,0,0,30,30,40,0,0,0,0,100,84240.75291,1531.759925
